Número de correlativo;Año;Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (peso de cada cabeza);Carne y hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio
1;2022;1;1;1;106;1;1;339;398664;3,987;11.76;1,989;178;2,167;497;316;199;40
2;2022;1;1;1;106;1;2;3786;3180240;31,802;8.40;15,615;1,436;17,051;4,122;2,266;1,590;159
3;2022;1;2;1;106;1;1;262;308112;3,081;11.76;1,537;137;1,675;384;245;154;31
4;2022;1;2;1;106;1;2;3327;2794680;27,947;8.40;13,722;1,262;14,984;3,622;1,991;1,397;140
5;2022;1;3;1;106;1;1;211;248136;2,481;11.76;1,238;111;1,349;309;197;124;25
6;2022;1;3;1;106;1;2;3591;3016440;30,164;8.40;14,810;1,362;16,173;3,909;2,149;1,508;151
7;2022;1;4;1;102;2;8;796;213450;2,135;2.68;1,239;572;1,810;168;0;60;96
8;2022;1;4;1;102;2;9;799;167013;1,670;2.09;969;447;1,417;132;0;47;75
9;2022;1;4;1;106;1;1;124;145824;1,458;11.76;728;65;793;182;116;73;15
10;2022;1;4;1;106;1;2;3290;2763600;27,636;8.40;13,569;1,248;14,817;3,582;1,969;1,382;138
11;2022;1;5;1;102;2;8;942;204671;2,047;2.17;1,188;548;1,736;161;0;57;92
12;2022;1;5;1;102;2;9;1014;225801;2,258;2.23;1,310;605;1,915;178;0;63;102
13;2022;1;5;1;106;1;1;270;317520;3,175;11.76;1,584;142;1,726;396;252;159;32
14;2022;1;5;1;106;1;2;3486;2928240;29,282;8.40;14,377;1,322;15,700;3,795;2,086;1,464;146
15;2022;1;6;1;102;2;8;1031;215987;2,160;2.09;1,254;578;1,832;170;0;60;97
16;2022;1;6;1;102;2;9;993;211117;2,111;2.13;1,225;565;1,791;166;0;59;95
17;2022;1;6;1;106;1;1;253;297528;2,975;11.76;1,485;133;1,617;371;236;149;30
18;2022;1;6;1;106;1;2;3327;2794680;27,947;8.40;13,722;1,262;14,984;3,622;1,991;1,397;140
19;2022;1;7;1;102;2;8;1067;224117;2,241;2.10;1,301;600;1,901;177;0;63;101
20;2022;1;7;1;102;2;9;1083;229581;2,296;2.12;1,332;615;1,947;181;0;64;103
21;2022;1;1;2;202;1;5;3;2870;29;9.57;14;1;16;4;2;1;0
22;2022;1;5;10;1014;2;8;400;102400;1,024;2.56;594;274;869;81;0;29;46
23;2022;1;5;10;1014;2;9;115;29440;294;2.56;171;79;250;23;0;8;13
24;2022;1;4;2;202;1;5;3;2900;29;9.67;14;1;16;4;2;1;0
25;2022;1;5;10;1015;1;1;4;2640;26;6.60;13;1;14;3;2;1;0
26;2022;1;2;11;1108;1;1;5;3292;33;6.58;16;1;18;4;3;2;0
27;2022;1;1;4;401;1;1;69;45540;455;6.60;227;20;248;57;36;23;5
28;2022;1;1;4;401;1;2;63;32067;321;5.09;157;14;172;42;23;16;2
29;2022;1;1;4;401;1;5;86;44032;440;5.12;220;20;239;62;35;22;4
30;2022;1;1;4;403;1;1;26;15600;156;6.00;78;7;85;19;12;8;2
31;2022;1;1;4;403;1;2;23;9200;92;4.00;45;4;49;12;7;5;0
32;2022;1;1;4;403;1;5;77;38500;385;5.00;192;17;209;54;31;19;4
33;2022;1;1;4;403;1;6;35;10500;105;3.00;52;5;57;15;8;5;1
34;2022;1;1;4;406;1;1;56;36960;370;6.60;184;16;201;46;29;18;4
35;2022;1;1;4;406;1;2;41;16400;164;4.00;81;7;88;21;12;8;1
36;2022;1;1;4;406;1;3;33;22935;229;6.95;113;10;123;29;17;11;2
37;2022;1;1;4;406;1;5;18;9000;90;5.00;45;4;49;13;7;4;1
38;2022;1;1;4;406;1;6;11;4125;41;3.75;21;2;22;6;3;2;0
39;2022;1;1;4;407;1;5;28;12600;126;4.50;63;6;68;18;10;6;1
40;2022;1;1;4;412;1;1;21;13860;139;6.60;69;6;75;17;11;7;1
41;2022;1;1;4;412;1;2;4;2000;20;5.00;10;1;11;3;1;1;0
42;2022;1;1;4;412;1;5;57;28500;285;5.00;142;13;155;40;23;14;3
43;2022;1;2;11;1108;1;2;7;5439;54;7.77;27;2;29;7;4;3;0
44;2022;1;1;4;412;2;8;11;1375;14;1.25;8;4;12;1;0;0;1
45;2022;1;1;4;412;2;9;10;950;10;0.95;6;3;8;1;0;0;0
46;2022;1;2;4;401;1;1;68;44880;449;6.60;224;20;244;56;36;22;4
47;2022;1;2;4;401;1;2;67;34170;342;5.10;168;15;183;44;24;17;2
48;2022;1;2;4;401;1;5;106;54696;547;5.16;273;24;297;77;43;27;5
49;2022;1;2;4;403;1;1;23;13800;138;6.00;69;6;75;17;11;7;1
50;2022;1;2;4;403;1;2;27;10800;108;4.00;53;5;58;14;8;5;1
51;2022;1;2;4;403;1;5;64;32000;320;5.00;160;14;174;45;25;16;3
52;2022;1;2;4;403;1;6;21;6300;63;3.00;31;3;34;9;5;3;1
53;2022;1;2;4;406;1;1;49;32340;323;6.60;161;14;176;40;26;16;3
54;2022;1;2;4;406;1;2;44;17600;176;4.00;86;8;94;23;13;9;1
55;2022;1;2;4;406;1;3;39;27105;271;6.95;134;11;145;35;20;14;3
