Corre;Año; Tipo de Carne;Mes;Departamento;Municipio;Clase;Sexo (subclase);Número de Cabezas;Peso total en libras;Peso total del número de cabezas (quintales);Peso vivo promedio (Peso de cada cabeza);Carne y Hueso;Sebo;Total;Vísceras;Cuero;Sangre;Desperdicio;;;
1;2023;1;1;1;2;2;1;985;295,500;2,955;3.00;1,715;791;2,506;233;0;83;133;;;
2;2023;1;1;1;2;2;2;1,001;300,300;3,003;3.00;1,743;804;2,547;237;0;84;135;;;
3;2023;1;1;2;2;1;5;2;1,906;19;9.53;10;1;10;3;2;1;0;;;
4;2023;1;1;4;1;1;1;78;60,528;605;7.76;302;27;329;75;48;30;6;;;
5;2023;1;1;4;1;1;2;79;52,061;521;6.59;256;24;279;67;37;26;3;;;
6;2023;1;1;4;1;1;5;131;70,478;705;5.38;352;31;383;99;56;35;7;;;
7;2023;1;1;4;3;1;1;40;26,400;264;6.60;132;12;143;33;21;13;3;;;
8;2023;1;1;4;3;1;2;26;13,000;130;5.00;64;6;70;17;9;7;1;;;
9;2023;1;1;4;3;1;5;50;31,400;314;6.28;157;14;171;44;25;16;3;;;
10;2023;1;1;4;3;1;6;31;12,400;124;4.00;62;6;67;17;10;6;1;;;
11;2023;1;1;4;6;1;1;59;45,784;458;7.76;228;20;249;57;36;23;5;;;
12;2023;1;1;4;6;1;2;55;36,245;362;6.59;178;16;194;47;26;18;2;;;
13;2023;1;1;4;6;1;3;50;41,125;411;8.23;203;17;220;53;31;21;4;;;
14;2023;1;1;4;6;1;5;29;18,212;182;6.28;91;8;99;25;14;9;2;;;
15;2023;1;1;4;6;1;6;16;9,416;94;5.89;47;4;51;13;7;5;1;;;
16;2023;1;1;4;7;1;5;28;17,584;176;6.28;88;8;96;25;14;9;2;;;
17;2023;1;1;4;12;1;1;9;6,984;70;7.76;35;3;38;9;6;3;1;;;
18;2023;1;1;4;12;1;2;4;2,636;26;6.59;13;1;14;3;2;1;0;;;
19;2023;1;1;4;12;1;5;61;38,308;383;6.28;191;17;208;54;30;19;4;;;
20;2023;1;1;4;12;2;1;32;5,280;53;1.65;31;14;45;4;0;1;2;;;
21;2023;1;1;4;12;2;2;30;4,950;50;1.65;29;13;42;4;0;1;2;;;
